album,artist,country,label,year,date_year
Born-Against,Kalon,United Kingdom,Sandwell District,2008,2008-01-01
AB010,Jeremdam,Slovenia,ABsense,1997,1997-01-01
Split One,Jonny White,Switzerland,Perspectiv,2009,2009-01-01
"<a class=""needs_changes"" href=""/master/208582-Djaxulator-EP/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",France,Frankie Rec,2008,2008-01-01
Unravelled Vol. 1,Various,United States of America,context,2003,2003-01-01
Quadrophobia,Apoll,Germany,Punkt Music,2004,2004-01-01
Rhythm A.D.,Patrik Skoog,Germany,Native Diffusion,2000,2000-01-01
The Pong,Audion,United States of America,Spectral Sound,2004,2004-01-01
Parquet,Elektro Guzzi,Germany,Macro,2011,2011-01-01
ONce,Allì Borèm,Germany,Desolat,2012,2012-01-01
Sand On The Floor,And.Id,Germany,Mobilee,2008,2008-01-01
"<a class=""needs_changes"" href=""/master/308570-Marionette/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Canada,Wagon Repair,2005,2005-01-01
Exit To New York,Various,Belgium,Radical Ambient,1996,1996-01-01
Electronic Dance Music,Omicron,Belgium,Radical Ambient,1997,1997-01-01
Die Maschinen Kontrollieren Uns,Boris Brejcha,Germany,Harthouse Mannheim,2007,2007-01-01
Prism,Scan X,Germany,Harthouse Mannheim,2008,2008-01-01
Untitled,Nuel,Italy,Aquaplano,2008,2008-01-01
Gone Wild / Mixtape,Sébastien Léger,France,Mistakes Music,2010,2010-01-01
Mekanikk EP,Smuk,Norway,Prepost,2003,2003-01-01
Schieber.03,Fusiphorm,Germany,Schieber,2006,2006-01-01
Weakend Polka,MRI,Germany,Resopal Schallware,2011,2011-01-01
Blitz / Blank,Alter Ego,Germany,Klang Elektronik,2007,2007-01-01
Plak Reconstruction,Chaton + Hopen,Switzerland,Plak Records,2006,2006-01-01
Don't Wake Up EP,Eidolon,Sweden,We Are,2006,2006-01-01
Cracked Poisson EP,K.atou,Germany,Einmaleins Musik,2006,2006-01-01
Carbonela EP,Lucas Mari,Germany,Stock5,2007,2007-01-01
Wreck EP,Jakob Kosteljanetz,Denmark,Tic Tac Toe Records,2005,2005-01-01
Science Fiction Summer Movie,Insect O.,Germany,Etui Records,2008,2008-01-01
Level Of Detail,LOD,Spain,Sinergy Networks,2007,2007-01-01
Nadine / Fahrstuhl,Station 17,Germany,17rec.,2006,2006-01-01
Multiplicanciones2,Alex Under,Spain,Apnea,2006,2006-01-01
Love Letters,Alexkid,France,F Communications,2007,2007-01-01
Midnight Teeth,Bryan Zentz,United States of America,Plus 8 Records,2009,2009-01-01
Working Class,Daniel Meteo,Germany,Shitkatapult,2009,2009-01-01
Mindtours 05,Steevio,United Kingdom,Mindtours,2002,2002-01-01
Scuba (Remixed By Oskar Offermann & Aera),Sevensol & Bender,Germany,Fauxpas Musik,2015,2015-01-01
Rumours,Holger Flinsch,Germany,Substance3,2004,2004-01-01
A Hair - Dressing Story EP,Frankie (2),France,Frankie Rec,2007,2007-01-01
Dontact EP,Frankie (2),France,Faste Music,2008,2008-01-01
Salute! EP,Frankie (2),France,Faste Music,2008,2008-01-01
Quantique,Jonson,United Kingdom,Beard Man,2009,2009-01-01
The Clapper,Detroit Grand Pubahs,Germany,Poker Flat Recordings,2003,2003-01-01
Kalk,Lovecore,Germany,Auftrieb,1996,1996-01-01
From Berlin To Buenos Aires (Part 1 Of 3),Raeyk,Germany,Varianz Records,2010,2010-01-01
