album,artist,country,label,year,date_year
Drogenkontrolle,Glove,Germany,Cocoon Recordings,2002,2002-01-01
My Friend Mirko,Joy Kitikonti,United Kingdom,Evolved Records,2007,2007-01-01
The Colundi Sequence Level 7,Aleksi Perälä,United Kingdom,AP Musik,2014,2014-01-01
The Colundi Sequence Level 8,Aleksi Perälä,United Kingdom,AP Musik,2015,2015-01-01
Grünschenkel Remixe,Dominik Eulberg,Germany,Traum Schallplatten,2007,2007-01-01
One Night,Kosheen DJs,United Kingdom,Godlike & Electric,2007,2007-01-01
Chord Tracking,Adam Marshall,Germany,Kuji,2008,2008-01-01
Dicht Dran,Schaeben & Voss,Germany,Kompakt,1999,1999-01-01
Ride The Matterhorn,Tim Xavier,United States of America,LTD400,2006,2006-01-01
Shop / Learn,Floorplan,United States of America,Duet,2002,2002-01-01
Cease To Exist,Monocorpse,Netherlands,Enfant Terrible,2016,2016-01-01
Live @ Home 3,Station Rose,Germany,Gunafa,2000,2000-01-01
Let Us Put Our Music In You,John Tejada & Justin Maxwell,United States of America,Palette Recordings,2007,2007-01-01
Friction / Yaki,Marcel Fengler,Germany,Ostgut Ton,2008,2008-01-01
Instant Heart Condition,Zwo!,Spain,Thump Elektroniks,2005,2005-01-01
"<a href=""/master/107649-City-Life-Vol1-NYC-USA/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",United States of America,Thema,2008,2008-01-01
Epaminondas EP,Ernesto Ferreyra,United States of America,Thema,2008,2008-01-01
Austral,Various,Chile,Ruta 5,1999,1999-01-01
Output,Harvey McKay,United Kingdom,Soma Quality Recordings,2008,2008-01-01
Renaissance: The Mix Collection,Tale Of Us,United Kingdom,Renaissance,2013,2013-01-01
Global Warming EP,Fernando Daxta,France,Sirius Pandi,2007,2007-01-01
Santa Domingo EP,Mood Edit,Canada,New Kanada,2007,2007-01-01
Catharsis,Zen Paradox,Belgium,Nova Zembla,1996,1996-01-01
To Much Love,Daniel Steinberg,Germany,Style Rockets,2007,2007-01-01
The Archives EP,Alexi Delano,Germany,Random Dynamics,2005,2005-01-01
Vektor EP,Spektre,United Kingdom,Respekt Recordings,2010,2010-01-01
Fisherman's Friends,Phutura (7),Italy,Globox,2008,2008-01-01
Remote Viewpoint / Whobear,Lunatik (2),United States of America,Wreckless Recordings,2008,2008-01-01
Addict,Robert Hood,United States of America,M-Plant,2002,2002-01-01
Microbe’s Wedding,Bip Soup,Italy,Cápsula,2008,2008-01-01
Broadcast EP,Vincent Radar,Germany,Sender Records,2001,2001-01-01
Follow The White Rabbit,Oliver Martini,Germany,Indigo Silver Club,2009,2009-01-01
Therapy Meetings EP,*,Germany,F-Ton,2005,2005-01-01
Dimensions EP,Mark Ambrose,United Kingdom,Mosaic,1997,1997-01-01
NYC Diesel Pt. 2,BCR Boys,United States of America,Synewave,2010,2010-01-01
Farben,Farben,Germany,Klang Elektronik,1998,1998-01-01
JS-02,*,United Kingdom,JS,1998,1998-01-01
Repetitive Digital Noise,i,Poland,Recognition,2006,2006-01-01
Liebensgewürzig,Stefan Tretau,Germany,Broque,2006,2006-01-01
Multi  Ordinal Tracking Unit,Unspecified Enemies,United Kingdom,Counter Attack,1999,1999-01-01
Ataraxia / Sor,Tommy Four Seven,Germany,CLR (2),2010,2010-01-01
Deja Vu EP,Joseph Ala,United Kingdom,Shingun Records,2002,2002-01-01
Blue: 4Trax / NoLoops,Agent Cooper,Germany,Raw Musique,1998,1998-01-01
Motorcity,Soda (3),Germany,Italic,1999,1999-01-01
Those I've Left Behind EP,Alessio Mereu,Italy,Amam,2012,2012-01-01
Rare Species,Robert Hood,France,Logistic Records,2002,2002-01-01
Livingston,Luomo,Germany,Force Tracks,2000,2000-01-01
Anin,Matt Star,Germany,International Freakshow,2007,2007-01-01
Boogybytes Vol.04,Ellen Allien,Germany,BPitch Control,2008,2008-01-01
She's The One,Hiem,United Kingdom,Crosstown Rebels,2004,2004-01-01
Verde Confeti,Damián Schwartz,Spain,Cmyk Musik,2006,2006-01-01
False Light,*,Germany,M_Nus,2015,2015-01-01
Mist,Clone,New Zealand,Nurture,1997,1997-01-01
Remixed Part One,D.Diggler,Germany,Resopal Schallware,2006,2006-01-01
Warehouse Sessions Volume 4,Claro Intelecto,United Kingdom,Modern Love,2007,2007-01-01
Sweat,The Micronauts,France,Micronautics,2005,2005-01-01
Sunpeople EP,Sunpeople,United Kingdom,Trelik,1998,1998-01-01
Scorpio,Tom Clark,Germany,Highgrade Records,2009,2009-01-01
Scribble Mania,Clark & Schatz,Germany,Highgrade Records,2008,2008-01-01
Gurd Em EP,Jeff Samuel,France,Frankie Rec,2008,2008-01-01
Total 10,Various,Germany,Kompakt,2009,2009-01-01
Monkey Business,Monodub,Germany,Trapez Ltd,2008,2008-01-01
Jambalaya,Donk Boys,Germany,Trapez,2008,2008-01-01
Destinations,Airbus Modular,Germany,Traum Schallplatten,2008,2008-01-01
Adonai Elohim,*,Netherlands,100% Pure,2005,2005-01-01
You Be Bob,David Labeij,Netherlands,Remote Area,2007,2007-01-01
Torann E.P.,Lakker,United Kingdom,Blueprint,2012,2012-01-01
Goodbye Anxiety,Hans Bouffmyhre,Germany,Harthouse Mannheim,2011,2011-01-01
Designed Persona,Umek,Sweden,Tronic,2009,2009-01-01
Heroin EP,Sasha Yeller,Russia,Deep-X Recordings,2012,2012-01-01
One For Sorrow EP,Baby Ford,Germany,Background,2001,2001-01-01
Tokyo Sub EP,Tokyo Sub,Switzerland,Bacteria Records,2007,2007-01-01
Untitled,Onur Özer,Germany,Vakant,2008,2008-01-01
Untitled Lines,The Dark Man,United States of America,212 Productions,1997,1997-01-01
Ratman,Minimono,Germany,Tuning Spork Records,2008,2008-01-01
G--Man II,*,United Kingdom,Swim ~,1996,1996-01-01
Drunvalo's Drums,Fernando Daxta,Belgium,Sirius Pandi,2009,2009-01-01
Psychedelic Walk,Open Transport,Italy,Temposphere,2002,2002-01-01
And What About The Truth,Jeff Mills,United States of America,Tomorrow,2009,2009-01-01
"<a class=""needs_changes"" href=""/master/512414-Sommerpause/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Perlon,1999,1999-01-01
Orange,Studio 1,Germany,Studio 1,1996,1996-01-01
One,John Thomas,France,Ethique Recordings,2005,2005-01-01
Love Manifesto,MOS,Germany,Sprout Music,2007,2007-01-01
We Are Many / Forward Notion,Filth & Splendour,United Kingdom,Plastica,2009,2009-01-01
Metawuffmischfelge,Wighnomy Brothers,Germany,Freude Am Tanzen,2008,2008-01-01
Time For Work,*,Switzerland,D3,1997,1997-01-01
Wake Turbulence,Koen Groeneveld,Germany,Roxy Records (2),2008,2008-01-01
Sci.Fi.Hi.Fi. _03,Alex Smoke,United Kingdom,Soma Quality Recordings,2006,2006-01-01
The Ace EP,Ion Ludwig,Netherlands,Phonocult,2007,2007-01-01
Contrasequentem,Defrag Sound Processing,Italy,Defrag Sound Processing,2003,2003-01-01
A Year Of Mule Electronic,Various,Germany,Mule Electronic,2008,2008-01-01
2007,False,Canada,M_nus,2007,2007-01-01
Step Up,Matt Coreman,France,Groove Life Records,2011,2011-01-01
Death At The Monolake,Jehfx,Netherlands,Highland Beats Technology Music Works,1996,1996-01-01
Third Gate EP,Cocoo,Japan,Metro Juice Records,1998,1998-01-01
Poligono De Frecuencias EP,Alejandro Lopez,United Kingdom,Pariter,2006,2006-01-01
Flumo Unmixed Edition 001,Various,Spain,Flumo Recordings,2008,2008-01-01
Secret Life Mixes Part 2,Sterac,Netherlands,100% Pure,1997,1997-01-01
In Stockholm We Dwell,Cari Lekebusch,Sweden,Hybrid,1996,1996-01-01
C2 EP,C-Rock,Germany,United States Of Mars,1998,1998-01-01
Untitled,Sutekh,Canada,M_nus,2001,2001-01-01
Fabric 17,Akufen,United Kingdom,Fabric (2),2004,2004-01-01
Interior,O/V/R,United Kingdom,Blueprint,2009,2009-01-01
Ring.Click.Tink EP,Alex Smoke,Germany,Vakant,2005,2005-01-01
Player Hater,Vice,United States of America,Black Nation Records,1996,1996-01-01
Groove - The Compilation Vol. 1,Various,Germany,S3 Frankfurt,1996,1996-01-01
Coincidance,Mathias Schaffhäuser,Germany,Ware,2005,2005-01-01
Metza,Reggy Van Oers,Germany,Trapez Ltd,2007,2007-01-01
Drai EP,KS,Japan,Stratosphere Records,2001,2001-01-01
Binaural EP,Cave,Norway,Technimal,2007,2007-01-01
Dude People EP,Kiko,United Kingdom,Rekluse,2009,2009-01-01
Eat Me EP,Christopher Benjamin,United Kingdom,Flux Recordings,2009,2009-01-01
Werk 1 EP,Ohrwerk Orange,Germany,Overdrive,2001,2001-01-01
Anatomic Smile,Peter F. Spiess,Germany,Klang Elektronik,2000,2000-01-01
Unfound Sketches,Sven Laux,United States of America,Unfoundsound,2011,2011-01-01
Fabrics,Nils Danielsson,Sweden,illegal Stockholm,2002,2002-01-01
Realm of Consciousness,Various,Italy,Afterlife (6),2016,2016-01-01
Elektion Propaganda,Slow To Speak,United States of America,Track Rabbit Suppers,2004,2004-01-01
Atwater.ca Remixe,Timtim,Germany,BPitch Control,2003,2003-01-01
Jam Mumbo / Guided By Robots,Square City,United Kingdom,Pagoda Recordings,2001,2001-01-01
Cosmic Crossdresser,Obtane,Germany,Equilibria Records,2006,2006-01-01
Discoded EP,Subchaser,Belgium,Minimalistix,1998,1998-01-01
Tresor Mix: Under Review,Oscar Mulero,Germany,Tresor,2009,2009-01-01
The Dance Flo-Funk EP,Aubrey Hoermann,United States of America,Odic Force,2001,2001-01-01
Untitled,Factory Floor,United Kingdom,Blast First Petite,2010,2010-01-01
Dreams Of Bells / Subculture,Pig & Dan,Germany,Datapunk,2008,2008-01-01
Rubicube / Belladone,Digitaline,Switzerland,Cadenza,2005,2005-01-01
Essential Reeds Vol. 1,Various,Belgium,Electronical Reeds,2012,2012-01-01
Lean Back,Mirno,Netherlands,Eterno Records,2008,2008-01-01
Freak System Vol. 1,Dexter Watkinson,Belgium,Minimalistix,1997,1997-01-01
Chasing You,Sleeper Thief,Germany,Mobilee,2006,2006-01-01
Drum Machine,Alex Di Stefano,Italy,Sebian Recordings,2009,2009-01-01
The Follower,The Field,Germany,Kompakt,2016,2016-01-01
All The Time,DJ Koze,Germany,Philpot,2007,2007-01-01
California Gold,Agaric (2),Sweden,Mad Eye,2008,2008-01-01
Bärn Kompileischn Pt. 2,Various,Switzerland,Sirion Records,2013,2013-01-01
Earthworm,Slg,Germany,Trapez,2007,2007-01-01
Post Meridiem EP,*,Russia,Deep-X Recordings,2012,2012-01-01
Despertar Con Otro Nombre,George Paar,Uruguay,Par Recordings,2013,2013-01-01
Plastic Star,Byetone,Germany,Raster-Noton,2008,2008-01-01
B,Pan Sonic,United Kingdom,Blast First,1999,1999-01-01
Amphetamine Sulphate,Stewart Walker,United States of America,Matrix (6),1997,1997-01-01
Onda Tape EP,Gianni Pellecchia,Italy,Bauns,2008,2008-01-01
Delahoya - The Compilation 2012,Various,Romania,Skills Records,2012,2012-01-01
Delahoya - The Compilation 2009,Various,Romania,Skills Records,2009,2009-01-01
Trouble,Tom Pooks,United States of America,Ovum Recordings,2007,2007-01-01
Contraste EP,Roman Lindau,Germany,Fachwerk,2011,2011-01-01
India In Me,Cobblestone Jazz,Canada,Wagon Repair,2006,2006-01-01
Once Again,Luca Bacchetti,Canada,Wagon Repair,2007,2007-01-01
To Eaches Own E.P.,David S. (2),United States of America,Strength Music Recordings,2005,2005-01-01
Miasma EP,Sutekh,Germany,Force Inc. Music Works,2000,2000-01-01
Isotropy_Magnitude,Solieb,Germany,Maschine,2005,2005-01-01
Limitiert #4,Tobias Becker,Germany,Platzhirsch Schallplatten,2007,2007-01-01
L'Essentiel,R & R (2),Germany,ER und ER,2005,2005-01-01
Way In E.P.,Josh (16),Germany,Kondens,2010,2010-01-01
Ratio Remixed Part 2,Ratio,Germany,Central,2001,2001-01-01
717 EP,Okain,United Kingdom,Tsuba Records,2009,2009-01-01
Rattelschneck,Super Flu,Germany,Traum Schallplatten,2008,2008-01-01
Bed EP,Alex Jones (3),United Kingdom,Hypercolour,2008,2008-01-01
Skid Grease EP,Perc,United Kingdom,Perc Trax,2007,2007-01-01
The Conservation Of Electric Charge,Bodycode,United States of America,Spectral Sound,2006,2006-01-01
Mouth To Mouth Remixes,Audion,United States of America,Spectral Sound,2007,2007-01-01
Kolimar EP,Barem,Canada,M_nus,2008,2008-01-01
Grow,Britschmalro,Germany,Resopal Schallware,2009,2009-01-01
Nightdrive,Slam,United Kingdom,Resist Music,2005,2005-01-01
Mind Over Matter,Braincell,Germany,Harthouse Mannheim,2007,2007-01-01
150 Razones,Jorge Savoretti,Spain,Esperanza,2006,2006-01-01
Untitled,Mono Reproducers,Germany,Formic Records,1996,1996-01-01
Jelly Beast Ltd 001,Various,Netherlands,Jelly Beast Recordings,2015,2015-01-01
Nonnative 05,Various,Spain,Semantica Records,2013,2013-01-01
Inside Out,Mark Verbos,Germany,SFX,1995,1995-01-01
Back,Markus Nikolai,Germany,Perlon,2000,2000-01-01
Harmonic Sequence,Ken Karter,Italy,Resiliens Recordings,2012,2012-01-01
Las Bicicletas Son Para El Verano,Alex Under,Germany,Trapez,2005,2005-01-01
Rip Rig & Paniq,RADIQ,France,Logistic Records,2006,2006-01-01
La Oliva EP.,Danito,Germany,Tapas Recordings,2009,2009-01-01
Walkabout,Optimo (2),Germany,Endless Flight,2007,2007-01-01
Toujours Amour,*,Belgium,Toys For Boys Records,2006,2006-01-01
Summero / Panico,Swat-Squad & Alecs Marta,Spain,PulseWith Records,2005,2005-01-01
The Future,Kim Rapatti,Finland,Dum Records,1995,1995-01-01
On,DJ Nobu,Japan,Music Mine Inc.,2010,2010-01-01
Platinum EP,Mark Broom,Greece,Material Series,2007,2007-01-01
Home Improvement EP,*,United States of America,D-Records,2001,2001-01-01
Coincidence E.P.,Mario Sequera,United States of America,Basically Like Exactly Records,2000,2000-01-01
Karmarouge Noir One,Franklin De Costa,Germany,Karmarouge Noir,2005,2005-01-01
Sender Loops 24,Various,Germany,Sender Records,2001,2001-01-01
The Pressure Of It All,Cascabel Gentz,Sweden,We Are,2009,2009-01-01
Fackeln Im Sturm,Grungerman,Germany,Profan,1997,1997-01-01
Verticle Disintegration,Timeblind,United States of America,All Ears,1996,1996-01-01
Frauen & Blumen,Patrick Kunkel,Germany,International Freakshow,2009,2009-01-01
Number Three /  Number Four,Ink And Needle,Denmark,Tattoorec.com,2006,2006-01-01
Players,Anton Pieete,Netherlands,Intacto Records,2008,2008-01-01
Ciudad Cero Cero (Alpha Area),Urban Groove,Argentina,Oid Mortales Records,2000,2000-01-01
Downunder,Lauhaus,Netherlands,Intacto Records,2008,2008-01-01
OnesAndZeroesLive.com - Episode 098,Miro Pajic,Canada,OnesAndZeroesLive.com,2010,2010-01-01
10 Years Later,Various,Germany,Zimmer-Records,2015,2015-01-01
The Strike Pandemonium,Lee Van Dowski,United Kingdom,Soma Quality Recordings,2007,2007-01-01
Harmonisch Serie,Max Cooper,Germany,Traum Schallplatten,2009,2009-01-01
Pan-O-Rama,Pan-Pot,Germany,Mobilee,2007,2007-01-01
Songs On The Rocks,Nôze,Germany,Get Physical Music,2008,2008-01-01
Coaster,Kassen,Netherlands,Crème Organization,2003,2003-01-01
The Great Cornholio,Silent Breed,Germany,Acid Fuckers Unite (A.F.U.),1996,1996-01-01
Results In Reverse,Various,Germany,Tritone,1997,1997-01-01
The White Room / Pecan,Dave Ellesmere,Netherlands,Remote Area,2006,2006-01-01
"<a class=""needs_changes"" href=""/master/442303-Mocho/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Trapez,2001,2001-01-01
Bugwheats EP,Ralph Sliwinski,Germany,Below,2005,2005-01-01
The Secret EP,Kabuto & Koji,Spain,Supernature,2008,2008-01-01
Enter The Hej,Cyborg K,United States of America,Hej Records,2007,2007-01-01
The Fall Guy,Russ Gabriel,Germany,Mobilee,2008,2008-01-01
Getting Up After The Day Before,Audio Werner,Germany,Hello? Repeat,2007,2007-01-01
Hear Naples And Die,Various,Italy,Adagio,2007,2007-01-01
Belly Button Bounce EP,From Karaoke To Stardom,United Kingdom,Living Records,2007,2007-01-01
Exit + Entrance 2,Gregory Shiff,United States of America,Persona Records,2002,2002-01-01
Bottomless,The Kooky Scientist,Germany,The Spacefrogs,1999,1999-01-01
Orbeat,Paco Osuna,Canada,Plus 8 Records,2008,2008-01-01
Toolroom Knights,Gabriel & Dresden,United Kingdom,Toolroom Records,2007,2007-01-01
Rubber Love / Tu Ba Or Not Tu Ba,Ost & Kjex,Norway,Snick Snack Music,2007,2007-01-01
Blue Divide (Remodelled),Norken,United Kingdom,Hydrogen Dukebox,2003,2003-01-01
Worldhands + Worldfeet EP,Remute,Germany,Einmaleins Musik,2008,2008-01-01
Facts,Jason Byers,United States of America,Metamorphic Recordings,2008,2008-01-01
Infidentity  EP,Christian Bloch,Germany,Simple Muzik,2000,2000-01-01
Groundbreaking,Christian Bloch,Canada,Restructured,2001,2001-01-01
The Other Side - Berlin,Ellen Allien,United Kingdom,Resist Music,2007,2007-01-01
Bad Boy,Nicole Moudaber,Germany,Yellow Tail,2009,2009-01-01
Global Friendship (Remix Part 3),Matthias Friedrich,Germany,Spirit Generation,2008,2008-01-01
C'est La Vie EP,Joseph Capriati,Italy,Analytic Trail,2007,2007-01-01
Espaço E Tempo,Click Box,United States of America,Items & Things,2008,2008-01-01
The Rising Sap,Skoozbot,Canada,Plus 8 Records,2008,2008-01-01
Stabiles,Stewart Walker,Germany,Force Inc. Music Works,1999,1999-01-01
Holzwurm,Sikora,Germany,Klang Elektronik,1999,1999-01-01
Delight,Oxtongue,Germany,Kompakt Pop,2003,2003-01-01
Your Last Chance,*,United States of America,M-Plant,1997,1997-01-01
Spark EP,Lawrence,United States of America,Ghostly International,2004,2004-01-01
Sci.Fi.Hi.Fi. _02,Luciano,United Kingdom,Soma Quality Recordings,2006,2006-01-01
Very,Baby Ford,United Kingdom,PAL SL,2005,2005-01-01
Messenger,Baby Ford,Germany,Sender Records,2003,2003-01-01
Indoor Culture Remixes - Part 2,Rue East,United Kingdom,Pure Plastic,2002,2002-01-01
What Was It Like Before I Got Into Electricity,Various,United Kingdom,Süd Electronic,2003,2003-01-01
"<a class=""needs_changes"" href=""/master/147245-Horrorama-EP-The-Remixes/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Canada,Revolver Recordings,2003,2003-01-01
Low Blow,*,Canada,M_nus,2002,2002-01-01
"<a href=""/master/76323-ModCoopFive/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Milnor Modern,2007,2007-01-01
Distance,Portable,France,Karat Records,2003,2003-01-01
Untitled,We Are (2),Sweden,We Are,2005,2005-01-01
Pressure Point E.P.,AJ Hunter,United States of America,Parotic Music,2001,2001-01-01
Plus One,Marco Carola,United States of America,Plus 8 Records,2008,2008-01-01
Re_Solution,Marco Carola,Canada,2M,2007,2007-01-01
Endless Forms,Butane,United Kingdom,Crosstown Rebels,2009,2009-01-01
200,Various,United Kingdom,Soma Quality Recordings,2006,2006-01-01
Tartless Wrecks Looking For Reckless Tarts EP,Tony Anderson Project,United Kingdom,Serenity Recordings,2004,2004-01-01
Imperial Beach,Ultra-Red,United Kingdom,Soundslike,2003,2003-01-01
God Was A Monkey,ASR,Spain,Simplex Records (2),2010,2010-01-01
Waterproof,John Spring,Germany,Sub Static,2004,2004-01-01
Out Of The Purple Haze,Various,United States of America,Communique Records,1995,1995-01-01
Gonna Get U Movin,Criz Heaven,Germany,Fixed System Records (FSR),1995,1995-01-01
Space,Gennaro Mastrantonio,United Kingdom,Sleaze Records,2010,2010-01-01
Level Me EP,Tim Xavier,United Kingdom,Sleaze Records,2010,2010-01-01
Remixes EP #3,Ike Yard,France,Desire Records (4),2013,2013-01-01
Dementia EP,Umek,Italy,Hell Yeah Recordings,2009,2009-01-01
Mícro Cosmos 2,Various,Germany,Glitchy Tonic Records,2011,2011-01-01
Crazy Debut EP,Various,Austria,Flex Schallplatten,2007,2007-01-01
Funkicide,Funkus,Denmark,Dancecop,1995,1995-01-01
Tchuca / Detroit To Torino,Anderson Noise,Brazil,Noise Music,2007,2007-01-01
Cocktail EP,The Pitchers,Italy,Qepo,2008,2008-01-01
The Hate E.P.,No Body,United Kingdom,Special K (2),1996,1996-01-01
Ayora & Ankaa,Fenice,Italy,Polena Records,2009,2009-01-01
SSREXTRA02,*,Germany,Super 6 Records,2012,2012-01-01
SSREXTRA16,*,Germany,Super 6 Records,2013,2013-01-01
SSREXTRA14,*,Germany,Super 6 Records,2013,2013-01-01
SSREXTRA18,*,Germany,Super 6 Records,2013,2013-01-01
SSREXTRA04,*,Germany,Super 6 Records,2013,2013-01-01
SSREXTRA22,*,Germany,Super 6 Records,2014,2014-01-01
Neutra EP,DJ T-1000,United States of America,Pure Sonik Records,2002,2002-01-01
Organza EP,Anders Ilar,Germany,Level Records,2006,2006-01-01
Timeless Beauty EP Pt. 1,Mikael Delta,Greece,Nuevo,2006,2006-01-01
Spannered,Chris Colburn,United Kingdom,8 Sided Dice Recordings,2011,2011-01-01
Alkitran / Vary,Markus Suckut,Germany,Stroboscopic Artefacts,2010,2010-01-01
TwirlUnder,*,Germany,Ostgut Ton,2006,2006-01-01
It's Not My Fault / Prima Materia,Brian Sanhaji,Germany,On Records (2),2007,2007-01-01
Need Electric (Audion Remix) / Free Floating (Matt Walsh Remix),Daniel Avery,United Kingdom,Phantasy Sound,2014,2014-01-01
AHz EP,Sunchase,Netherlands,Playmobil Series,2007,2007-01-01
K_pott,Wandler,Switzerland,Motoguzzi Records,2006,2006-01-01
Dried Lubricant EP,Various,United Kingdom,Serialism Records,2007,2007-01-01
Opal's Sunflowers ,Visonia,United Kingdom,Last Known Trajectory,2016,2016-01-01
Manopola,Kiko,France,Signature By Kiko,2010,2010-01-01
Copper Variations,Mike Parker,United States of America,Geophone,2001,2001-01-01
Real Life EP,Tobias Schmidt,Germany,Tresor,2002,2002-01-01
Dungeon Boogie (Remixes),Orlando Voorn,Denmark,Tic Tac Toe Records,2008,2008-01-01
Tech Couture,Håkan Lidbo,Germany,Poker Flat Recordings,2001,2001-01-01
Stand Firm EP,Dachshund,Germany,Highgrade Records,2011,2011-01-01
Irreversible (Original Soundtrack From The Motion Picture),Various,France,Roulé,2002,2002-01-01
Pelican EP,Steve Slight,Netherlands,Gem Records (6),2011,2011-01-01
Selected Techno Works,Gabriel Ananda,Germany,Basmati,2011,2011-01-01
Bang Bang Machine,Taylor Deupree,United States of America,Electric Music Foundation,1997,1997-01-01
Will Be A Dream,Alfonso Forte,Italy,Mystika Records,2010,2010-01-01
Mentolyne EP,Loran Valdek,Italy,Radioactiva Records (2),2008,2008-01-01
Black Butterfly Remix Edition,Liebba,Italy,Radioactiva Records (2),2009,2009-01-01
Konfetti,Various,Germany,BAR25,2008,2008-01-01
My Dad Ain't No Girl EP,Deputy,United States of America,Parotic Music,1999,1999-01-01
This Is Music EP,ADK,Germany,ADK Music,2006,2006-01-01
Gazebo / Gazelle,Fairmont,United Kingdom,Border Community,2005,2005-01-01
Isolation,Function,United Kingdom,Sandwell District,2007,2007-01-01
Untitled,Steve Stoll,United States of America,212 Productions,2002,2002-01-01
Escarabajos,Ernie,Spain,Signs Of Authority,2006,2006-01-01
Borderline EP,Franklin De Costa,France,Crack&Speed,2007,2007-01-01
Total 12,Various,Germany,Kompakt,2011,2011-01-01
Put The Lime In Da Coconut,Cobblestone Jazz,Canada,Wagon Repair,2007,2007-01-01
Untitled,Dolby Absurd,Germany,TV-Whatever,1998,1998-01-01
Bridge Itch,Paul Brtschitsch,Netherlands,Wolfskuil Records,2008,2008-01-01
Flatfunk,Audio Werner,France,Circus Company,2007,2007-01-01
Sommersause / Affenstall,Heckmann & Kauffelt,Germany,Karton Schallplatten,2007,2007-01-01
Spring 96,The Trumps,Austria,Pomelo,1996,1996-01-01
Utility Plastics Vol. 12,Richard Turner,United Kingdom,Utility Plastics,2000,2000-01-01
Blow Me Down / Circle Monkey,Popof,France,Mistakes Music,2010,2010-01-01
Pearls...,Gaetano,Germany,Imperanza Recordings,2009,2009-01-01
Hagagatan Remixed,Svreca,Spain,Semantica Records,2012,2012-01-01
Nonnative 03,Various,Spain,Semantica Records,2012,2012-01-01
Mon Dieu Moi Aussi,*,Germany,Rrygular,2006,2006-01-01
YamYam01,Yam Yam (3),Germany,YamYam,2009,2009-01-01
Zippoff,Alex Kork,Germany,9 Volt,2010,2010-01-01
Just The Beginning,Electric Rescue,Germany,Harthouse Mannheim,2009,2009-01-01
Minimal Techno Vol. 2,Mario Kalkkuhl,Germany,ZYX Music,2007,2007-01-01
Minimal Techno 5,Christian Fischer,Germany,ZYX Music,2009,2009-01-01
Attimi Regolari,Gaetano Parisio,Italy,Adagio,2008,2008-01-01
Pleite Reissue,Donnacha Costello,Germany,Look Long,2009,2009-01-01
ODE,Unknown Artist,Switzerland,ODE,2013,2013-01-01
The Babel Syndrome,Ratio,United States of America,7th City,1995,1995-01-01
DJ-Kicks,Maya Jane Coles,Germany,Studio !K7,2012,2012-01-01
P.S. You Rock,Marc DePulse,Germany,Blu Fin,2009,2009-01-01
Reach For It / Drip,Brian Ffar,Denmark,Tic Tac Toe Records,2005,2005-01-01
Arti Dust,Sonic Tourism,United States of America,Toolbox Tunes,1996,1996-01-01
Sleep Blind,Faberlique,Ukraine,Faberlique Records,2012,2012-01-01
Rolloch,Super Flu,Germany,Monaberry,2009,2009-01-01
Experiment No. 1 EP,Rhythm Maker,Germany,Background,2000,2000-01-01
Various Items 2,Various,Germany,Items & Things,2012,2012-01-01
"No Arms, No Chocolate E.P.",Sebastian Russell,Germany,Enliven Music,2007,2007-01-01
Ju'say...! Tecyes,Jens Linse,Germany,Braintist Records,2000,2000-01-01
Untitled,Eduardo De La Calle,Spain,Hard Fandango,2003,2003-01-01
Stop Counting,Gerald Peklar,Germany,Freaksound,2004,2004-01-01
4 Play E.P.,*,Germany,Get Physical Music,2006,2006-01-01
Love's Duel EP,Hrdvsion,Canada,Wagon Repair,2008,2008-01-01
Light In Darkness,Pobedia,Russia,Not On Label (Pobedia Self-released),2014,2014-01-01
Cassy 02,Cassy,Germany,Cassy,2008,2008-01-01
"<a href=""/master/105028-Darko/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Get Physical Music,2006,2006-01-01
TackyWakeup Remixes,*,Germany,Raum...musik,2006,2006-01-01
Squalstuff .EP,*,Belgium,Obsolete,2007,2007-01-01
One-Ten,Apathism,Germany,UTurn Records,1998,1998-01-01
Colour Space,Phantom Network,United Kingdom,Not On Label,2014,2014-01-01
Distant Echoes EP,Aubrey,United Kingdom,Solid Groove,2001,2001-01-01
Katalog,Andreas Fragel,Germany,M.O.S. Mit Ohne Sound,2001,2001-01-01
Ex.or.zis.mus,LoSoul,Germany,Klang Elektronik,1998,1998-01-01
Ghettoblaster II,Richard Bartz,Germany,Kurbel,1997,1997-01-01
Uno,The Wise Caucasian,United Kingdom,Green/As It Is,1998,1998-01-01
Missed Flight,Joseph Capriati,Sweden,Drumcode,2011,2011-01-01
Love Letter To The Enemy,Mathew Jonson,Canada,Itiswhatitis Recordings,2004,2004-01-01
A Broken Shape Of You,Public Lover,Germany,Thesongsays,2012,2012-01-01
Fabric 92,Call Super,United Kingdom,Fabric (2),2017,2017-01-01
Mu EP,Various,Japan,10 Label,2011,2011-01-01
Funkt,Sascha Funke,Germany,BPitch Control,2002,2002-01-01
Under The Roman Clamour,Death Kneel,Germany,Total Black,2016,2016-01-01
Pull Absurde,Daze Maxim,Germany,Hello? Repeat,2007,2007-01-01
