album,artist,country,label,year
Big Onion,Detroit Grand Pubahs,Germany,Poker Flat Recordings,2004
"<a class=""needs_changes"" href=""/master/106391-Fuckshuffle-EP/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Canada,M_nus,2007
Die Liebe,Stimming,Germany,Terminal M,2008
Molotov EP,Joseph Capriati,Italy,Analytic Trail,2008
Leave Luck To Heaven,Matthew Dear,US,Spectral Sound,2003
Format EP,*,Spain,Klitekture,2002
I Am,Andrey Zots,Germany,AFU Limited,2008
Endless Horizon,Shebuzzz,US,Toffler Music Entertainment,2016
Wanderheim EP,*,Germany,Register,2007
Cocoon Compilation J,Various,Germany,Cocoon Recordings,2010
{ Out Of Business },Camilla Green,Italy,Wonder Wet Records,2011
Kollektiv,Various,Germany,BPitch Control,2000
Rocking-Chair EP,Quite-k,Russia,Deep-X Recordings,2011
Elephant And Obelisk,Sutekh,US,Orac Records,2007
Close To The Beat / Smoothy,M.I.R.K.O.,Netherlands,EC Records,2009
Depart,Jasper,US,Cytrax,1999
Spool,Carl Sagan,Germany,43recordings,2009
Suckfish,Audion,US,Spectral Sound,2005
Aires Buenos,Various,US,Unfoundsound,2006
vakbekwaam,Olene Kadar,Germany,Mo's Ferry Prod.,2008
Bouncing Balls EP,Swinging Sisters,Germany,Testlauf,0
Umek? Hell Yeah,Umek,Italy,Hell Yeah Recordings,2009
5.1,Moritz Von Pein,Germany,Kahlwild,2006
Kalte Füsse II Vol.2,Various,Germany,Opossum Recordings,2007
The Remedy Presents - Love Part One / Love Part Two,Johannes Heil,Germany,G-Series,2005
Uno,Verrina & Ventura,Italy,Howl (4),2015
Untitled,David Wulle & Andy Garcia,US,Docile Recordings,0
Circle Of Dorth,Ion Ludwig,Germany,Stock5,2006
Temporary Suspension EP,Planetary Assault Systems,Germany,Ostgut Ton,2009
Diderot,Mathias Schaffhäuser,Germany,Biotop,2016
Сон Не Для Меня = Sleep Not Found,Various,Europe,трип,2016
This Time Around,Roswell Return,Netherlands,SD Records,2014
Kollektiv Artists. Volume 7. [Part 1],Various,Russia,Music Kollektiv,2012
The Black & White Lab,Robert Hood,US,M-Plant,2002
Discount Baby,Bodo Elsel,Germany,Playhouse,1999
Ministek,Ra-X,Belgium,KK Records,1996
Assbomb / Longcat,Ziggy Kinder,Germany,Ware,2009
Bleed Like Me,Break 3000,Germany,Dirt Crew Recordings,2008
Decompression EP,Mathew Jonson,Canada,M_nus,2004
Sibling Rivalry EP,Lex Gorrie,UK,Sleaze Records,2011
Micro E.P.,Oblongmonster,Argentina,Miniatura Records,2010
Variables,Various,Germany,Items & Things,2012
Gleis Zwei,M.I.A.,Germany,Sub Static,2001
Gaby,Die Stunde Null (2),Germany,Flying Beam Records,1997
Hermanos EP,Julian Jeweil,Canada,Plus 8 Records,2011
Nine Five EP,Jeng Do,Netherlands,Sound Architecture,2009
My Name Is,Boris Brejcha,Germany,Harthouse Mannheim,2010
Dr. Pyckle And Mr. Pryde,Pan/Tone,Germany,Sub Static,2007
New Arrival,Mark Broom,UK,Pure Plastic,2000
A Tribute To Klang Club,Various,Italy,Unclear,2014
T-Rex,Dot Wiggin,Canada,New Kanada,2007
Featuring The Dramatics,Farben,Germany,Klang Elektronik,1999
Chibullian,DJ Zank,Japan,U7 DJ Toolz,2000
MDR 01,Marcel Dettmann,Germany,Marcel Dettmann Records,2006
Banshee,Richard Belsom,Germany,Confused Recordings,2008
You Can Shake,Alex Bau,Hong Kong,Sino,2009
History,TXT,US,21/22 Corporation,2003
Geometry,Run Stop Restore,Canada,M_nus,2004
My Music Is My Space,Various,Germany,Statik Entertainment,2007
Eurotunnel / Calibration,John Tejada,Germany,~scape,2006
Document,Various,Netherlands,A1 Records,1998
Audiomatique 2.3: The Remixes,Various,Germany,Audiomatique Recordings,2008
Love,Quesh,Germany,Art Of Perception,2006
Kommunicate EP,Drumcell,US,Droid Recordings,2007
Deafness Records CD Two,Various,Hungary,Deafness Records,2012
Ghetto Of My Mind,Jackmate,Germany,Authentic Music,2002
Pets Of Plenty,Touchy Mob,Germany,Gingerbread Records,2009
"My Heart's In My Hand, And My Hand Is Pierced, And My Hand's In The Bag, And The Bag Is Shut, And My Heart Is Caught.",Phil Collins (3),Italy,Nero Collins,2015
Switch Stance E.P.,TD5,UK,Primate Recordings,1996
Blablakaux,*,France,Division Virtuel,2009
7th City Classics Vol. 2,Cabanne,US,7th City,2007
"<a class=""needs_changes"" href=""/master/1072299-Fathernature-2006-Remixes/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",US,Immigrant,2006
Mopti,Eric Borgo,UK,Tsuba Records,2008
Legba,Dachshund,Germany,Contexterrior,2009
01.01-00.07.30H,M² (4),Germany,Shortage,2009
POLIS The Remixes Volume One,Billy Dalessandro,Portugal,SONICULTURE,2009
Achtein,Q_no,Germany,Ostwind Records,2009
The Piper,Norman,US,Synewave,1996
"<a href=""/master/227908-Dreiklangkapriolen/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Musik Krause,2010
Schoolyard ,Peter Schumann,Germany,Bluecode Records,2011
Those Days,Kassem Mosse,Germany,Mikrodisko Recordings,2007
"<a class=""needs_changes"" href=""/master/406162-Mr-Dry-Glow-Worm/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Trapez,2008
Born-Against,Kalon,UK,Sandwell District,2008
AB010,Jeremdam,Slovenia,ABsense,1997
Split One,Jonny White,Switzerland,Perspectiv,2009
"<a class=""needs_changes"" href=""/master/208582-Djaxulator-EP/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",France,Frankie Rec,2008
Unravelled Vol. 1,Various,US,context,2003
Quadrophobia,Apoll,Germany,Punkt Music,2004
Rhythm A.D.,Patrik Skoog,Germany,Native Diffusion,2000
The Pong,Audion,US,Spectral Sound,2004
Parquet,Elektro Guzzi,Germany,Macro,2011
ONce,Allì Borèm,Germany,Desolat,2012
Sand On The Floor,And.Id,Germany,Mobilee,2008
"<a class=""needs_changes"" href=""/master/308570-Marionette/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Canada,Wagon Repair,2005
Exit To New York,Various,Belgium,Radical Ambient,1996
Electronic Dance Music,Omicron,Belgium,Radical Ambient,1997
Die Maschinen Kontrollieren Uns,Boris Brejcha,Germany,Harthouse Mannheim,2007
Prism,Scan X,Germany,Harthouse Mannheim,2008
Untitled,Nuel,Italy,Aquaplano,2008
Gone Wild / Mixtape,Sébastien Léger,France,Mistakes Music,2010
Mekanikk EP,Smuk,Norway,Prepost,2003
Schieber.03,Fusiphorm,Germany,Schieber,2006
Weakend Polka,MRI,Germany,Resopal Schallware,2011
Blitz / Blank,Alter Ego,Germany,Klang Elektronik,2007
Plak Reconstruction,Chaton + Hopen,Switzerland,Plak Records,2006
Don't Wake Up EP,Eidolon,Sweden,We Are,2006
Cracked Poisson EP,K.atou,Germany,Einmaleins Musik,2006
Carbonela EP,Lucas Mari,Germany,Stock5,2007
Wreck EP,Jakob Kosteljanetz,Denmark,Tic Tac Toe Records,2005
Science Fiction Summer Movie,Insect O.,Germany,Etui Records,2008
Level Of Detail,LOD,Spain,Sinergy Networks,2007
Nadine / Fahrstuhl,Station 17,Germany,17rec.,2006
Multiplicanciones2,Alex Under,Spain,Apnea,2006
Love Letters,Alexkid,France,F Communications,2007
Midnight Teeth,Bryan Zentz,US,Plus 8 Records,2009
Working Class,Daniel Meteo,Germany,Shitkatapult,2009
Mindtours 05,Steevio,UK,Mindtours,2002
Scuba (Remixed By Oskar Offermann & Aera),Sevensol & Bender,Germany,Fauxpas Musik,2015
Rumours,Holger Flinsch,Germany,Substance3,2004
A Hair - Dressing Story EP,Frankie (2),France,Frankie Rec,2007
Dontact EP,Frankie (2),France,Faste Music,2008
Salute! EP,Frankie (2),France,Faste Music,2008
Quantique,Jonson,UK,Beard Man,2009
The Clapper,Detroit Grand Pubahs,Germany,Poker Flat Recordings,2003
Kalk,Lovecore,Germany,Auftrieb,1996
From Berlin To Buenos Aires (Part 1 Of 3),Raeyk,Germany,Varianz Records,2010
Cyclic / Flux,Emmanuel Top,France,Planete Rouge Records,2011
Untitled,Various,Switzerland,Anarres Records,1996
Green Microdots EP,Caustic Visions,UK,Caustic Visions,1994
Elephant Skins EP,Glimpse,UK,Leftroom,2008
Sleepy Vigil E.P.,Mr. Cloudy,France,ZeECc,2009
[upiter],T-Quest,Belgium,Music Man Records,1997
Vibra Slap EP,*,Austria,Driving Forces Recordings,2009
Cq Ea8aK,*,Belgium,Sirius Pandi,2008
Bredow / Damm3,Ricardo Villalobos,Germany,Perlon,2001
Bastlers Feat. / Polished2Chrome,Bastlers,Germany,Proton Records,1999
French Broken,Baraso,Netherlands,Ruis,2017
Moonside Playground,Heiko Laux,Germany,Kanzleramt,1996
Downtown,Monobox,US,M-Plant,1997
Double-Checked,Sascha Funke,Germany,BPitch Control,2008
Auditory,Simon Stokes,Georgia,Minibus (2),2008
Killerbot,Earth Frequency,Germany,Aural Satisfaction,1998
Vacu Uhm,Ben'Jammin',France,Groove Life Records,2011
Blank Below,Paul Mac,UK,Stimulus Recordings,1998
Before We Come,*,Germany,Playtracks,2009
Motion Cell EP,Ninohengst,,66Khz Productions,2012
"<a class=""needs_changes"" href=""/master/261555-Issst/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",UK,Issst:Recordings,2007
Princess Guacamole,Rodriguez Jr.,Germany,Mobilee,2010
Dub Crystal,Bart Skils & Anton Pieete,Netherlands,100% Pure,2009
What I Said,Maurizio Vitiello,Italy,Bauns,2009
Cabinet Classics 1994-1998,Various,Canada,Plus 8 Records,2006
...Im Garten,André Galluzzi,Germany,Taksi,2003
De Begg Deg,Pheek,Canada,Kalimari Musique,2007
Suprema,Gaetano Parisio,Italy,Conform,2002
Babou,Julian Jeweil,Canada,Plus 8 Records,2010
Helen In The Keller,Run Stop Restore,Canada,M_nus,2009
Vibrations,Output (8),UK,Dogmatik Records,2009
Sonnentag,Danjel Esperanza,Germany,Backdoor Beauty,2011
Figlio Di Montana,Marcelo Tag,Belgium,Sirius Pandi,2008
One,Mark Wehlke,Germany,F-Ton,2005
Mad EP,Julian Jeweil,France,Form Music,2013
Mindtours 2,Steevio,UK,Mindtours,2001
Coffee Shop,Emmanuel (8),Netherlands,100% Pure,2011
Medusa Smile (Don't Look Back...),Ghostman,Canada,Wagon Repair,2005
Rufus Remixes,Heron (6),Germany,Limikola,2011
Mindtours 04,Steevio,UK,Mindtours,2002
Geko EP,*,Russia,Deep-X Recordings,2011
MD2.4,MD2,Netherlands,MD2,2011
Artematique,Wonderful Wanderer,Germany,Subspiele Records,2015
The Clique EP,Frame Six,France,Black & White Recording,2005
Honeycomb EP,Luke Abbott,UK,Amazing Sounds,2010
Picaro EP,Franco Cinelli,Germany,Milnor Modern,2005
Note To Self,Johnny Arthur,UK,Veryverywrongindeed Recordings,2009
Shakuhachi,Mike Parker,US,Geophone,1998
Finnish Experience EP,*,Germany,Craft Music,2008
Raw Macro,Farben,Germany,Klang Elektronik,2000
Secrets,MRZ,Switzerland,Nice Try Records,2011
Wanda's Wig Wax (Mixes),Slacknoise,UK,Underl_ne,2005
The Manipulator Of,Ion Ludwig,Germany,Resopal Red,2008
Push The Patton,Tigerskin,Germany,Dirt Crew Recordings,2007
Fabric 46,Claude VonStroke,UK,Fabric (2),2009
Warsaw Bread,False,Canada,Plus 8 Records,2002
False,False,Canada,Plus 8 Records,2003
Chapter Ten,Gaetano Parisio,Italy,Southsoul,2006
Nothing Is Written,Phantom/Ghost,Germany,Ladomat 2000,2003
Dross Glop 3,Battles,UK & Europe,Warp Records,2012
Blood EP,Stefan Goldmann,Germany,Perlon,2005
Still Sequence,Etc. (4),Japan,elementperspective,2013
Re:Sound EP,A.Mochi,UK,Mote-Evolver,2007
Sweet Heini / Buccaneer,Jackmate,Germany,Phil e,2007
Black Bag Job,Donnacha Costello,Germany,Minimise,2007
All That Jazz,*,Germany,Great Stuff Recordings,2008
Possible Conclusions To Stories That Never End,Mike Shannon,Germany,~scape,2006
Neural Block,*,Canada,M_nus,2006
Blank Fade,*,Canada,M_nus,2008
Folger,Shin (6),Germany,Yellow Tail,2008
Chica Wappa,Alex Smoke,UK,Soma Quality Recordings,2004
Paradolia,Alex Smoke,UK,Soma Quality Recordings,2006
Circus Maximus,Solieb,Germany,Maschine,2005
Halo / The Drums,Solieb,Germany,Maschine Ltd.,2007
T 2 Da C (Da Remixes),Hardfloor,Germany,Hardfloor,2005
People Be Happy / Rhythm Dance,Steve Reid (2),UK,Domino,2007
Mifa / JR500 (John Tejada Remix),Alka,Germany,Resopal Schallware,2002
Romantique,Nico Purman,Japan,Mule Electronic,2007
Hamilton (Versions),*,Germany,Italic,2008
Let's Do It,Dave Hughes,US,Palette Recordings,2007
R U OK,Ambivalent,Canada,M_nus,2007
One World One Future,Armando,Belgium,Radikal Fear,1996
Beatport Exclusive,Solieb,Germany,Maschine,2006
Nostalgik.3,Plastikman,Canada,M_nus,2007
Untitled,Floorplan,US,Drama,1999
Technatural EP,Robert Hood,US,M-Plant,2000
Farben. Says: Don't Fight Phrases,Farben,Germany,Klang Elektronik,2002
"No, No, No, No EP",Raudive,Germany,Klang Elektronik,2006
"<a href=""/master/70175-Focus-On-Guido-Schneider/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Europe,Poker Flat Recordings,2006
Sopot,Slg,Poland,Channels Records,2007
Familia Remix EP 2,Pier Bucci,UK,Crosstown Rebels,2006
Labyrinths Designer E.P.,Henry Saiz,Germany,Paradigma Musik,2007
Impulsion Parasite Rmxs Part 2,Dapayk Solo,Germany,Mo's Ferry Prod.,2007
Crisis,Jake Fairley,Germany,Sender Records,2002
Parabolica,AOKI Takamasa,Japan,Op.disc,2006
The Know Returns EP,Mike Shannon,Canada,Cynosure,2003
Zinga,Italoboyz,Germany,Get Physical Music,2008
Roland Casper E.P. Volume Two,Roland Casper,Germany,Think Green,1995
"<a href=""/master/88366-Galactic-Ass-Creatures-From-Uranus/history#latest"">
<i class=""icon icon-info-circle""></i>
            Needs Vote        </a>","
",Germany,Poker Flat Recordings,2004
Peking Duck,*,Netherlands,Intacto Records,2010
Innerelements,Ken Ishii,Belgium,R & S Records,1994
World Series Vol 2,Phonogenic,UK,20:20 Vision,2007
"<a class=""needs_changes"" href=""/master/171480-Bryzant-Games/history#latest"">
<i class=""icon icon-exclamation-circle""></i>
            Needs Changes        </a>","
",Germany,Definition Records,2008
Evolver,Peter Horrevorts,Germany,Kanzleramt,2007
Cabrini E.P.,Ibrahim Alfa,UK,Automatic Records,1999
Ref.01,Endorphine,France,Ombre Sonore,2000
Una Rosa,Niconé,Germany,Stil Vor Talent,2008
Ghetto Trax,*,US,Accelerate,1993
Impulse Control Remixed,Decimal,US,Enemy Records (2),2009
Collective 1,Lee Van Dowski,Germany,BPitch Control,2006
1914 EP,Taylan,UK,Living Records,2007
Unwelcome Visitor EP,Nikola Grebovic,Argentina,Miniatura Records,2008
From Buenos Aires To Istanbul (The Originals),Various,Argentina,Miniatura Records,2008
UNdefinition Compilation,Various,Germany,Unoiki,2010
Heimatmelodie EP,Foxx,Germany,Foxx,1997
Pops,Riou,Belgium,KK Records,1997
"Re:mix Vol. 1 - Dave House ""A Path With A Heart""",Dave House,UK,ISIGTUTEOT,2006
Nuport / Eight,Stefano Greppi,Italy,Schermate Recordings,2010
MDRL EP,Mike Dehnert,Germany,Fachwerk,2008
The Subsequence EP.,Patrik Skoog,Sweden,Native Diffusion,2000
Arabxilla,*,Germany,BPitch Control,2011
17000,Alex Bau,Germany,DMOM,2011
Mushaliatu,Loran Valdek,Italy,Divided Recordings,2011
Be Alone EP,Loran Valdek,US,Stratospherik,2007
De Machine Des Duivels,Rude 66,Netherlands,Bunker Records,2000
Sambada,Simone Cristini,Italy,Stereoseven Plus,2009
Scorpion Walking,Tom SPL,Hungary,Audioexit Records,2010
Echinodon EP,Stefny,Canada,Archipel,2010
After Hours Edition: Blue EP,Ben Rourke,UK,Autoreply Music,2009
Concept 1 - 96:CD,Concept 1,Canada,M_nus,1998
Infidelity EP,Christian Bloch,Denmark,Funque Droppings,1999
Coconuts / Who Said That,Shlomi Aber,Israel,Be As One Imprint,2011
Regis / Monoton Versions,Ike Yard,France,Desire Records (4),2012
Force: 10th Anniversary Remix Contest,Technasia,Hong Kong,Technasia Records,2010
Blood Money E.P.,Mark Hawkins,Germany,Feinwerk,2005
This Reality EP,Knobs,Germany,Nachtstrom Schallplatten,2011
All This & This All,Kolombo,Germany,Vice Versa Recordings,2006
Retro EP,Heron (6),Germany,360º Records,2008
Windmill EP,Danilo Vigorito,Switzerland,Speaker Attack,2001
Rainshower EP,Dave DK,Germany,Playhouse,2006
Remikks Potpourri II,*,Germany,Mute,2007
Sounds From Can Elles,Richie Hawtin,UK,DJ Magazine,2008
Watergate 02,Sascha Funke,Germany,Watergate Records,2008
Disconnect,Plastikman,Europe,NovaMute,2003
Chamber Nights,Christian Burkhardt,Germany,Cocoon Recordings,2014
Knopfgeburt,Freedarich & Stiggsen,Germany,Schallschnelle,2007
Tecnica E.P.,Tecnica,Japan,Wonkavator Records,2011
Fiction Fiction,Terence Fixmer,France,From Jupiter Recordings,2009
Mit Pauken Und Trompeten Vol. 1,Je Dàvu,Germany,Platzhirsch Schallplatten,2009
Buenaz Nochez EP,Marcus Meinhardt,Germany,Upon.You,2007
Disto,Rarefaktion,US,Clicktracks,2003
Chordal / Law Of Return,Peter Kruder,Germany,Macro,2009
The Dance Paradox,Redshape,Netherlands,Delsin,2009
Stealth EP,Simone Tavazzi,Netherlands,Luxa Flex,2008
Control / Untitled Dream,Laric,Italy,Schermate Recordings,2009
Babyfoot EP,The Modern Deep Left Quartet,Canada,Wagon Repair,2005
The Night Ain't Over,The Architect,Germany,Karloff,2004
Love Letters EP,Arnaud,US,Bleepsequence,2014
The Line In Between (Pt. 3/3),*,Finland,Frozen North Recordings,2007
It's Gettin' Kinda Hectic Remixe,3 Channels,Germany,Trapez,2008
Clubkraft,Fletcher Mundson Syndrom,Germany,Plusquam Records,2001
Secret Files,Underground Systems,Germany,Super 6 Records Goodies,2006
Stuttgart E.P.,Konstantin Sibold,Germany,Snork Enterprises,2012
Friendship E.P. Vol.1,Various,Italy,Fahrenheit Music,2008
WaWuWe,Minilogue,Europe,Mule Electronic,2010
Repetition & Nonsense,Kit Clayton,US,Drop Beat Records,1999
Glue EP,The Glitz,Greece,Material Series,2010
Ligrgirl EP,Octogen,UK,Soma Quality Recordings,2006
Krak EP,Floating Mind,Switzerland,Monokrak Records,2006
Revenge Of The Nerds,Lauhaus,Netherlands,Remote Area,2008
MDR 04,Marcel Dettmann,Germany,Marcel Dettmann Records,2008
Noose,Elon,US,Clink Music,2008
Happy Ending,Camea,Germany,Clink Music,2009
Jump Rope EP,Sierra Sam & Marcus Vector,Germany,Contexterrior,2008
Plutonium,Der Dritte Raum,Germany,Harthouse Mannheim,2007
No Spam Here EP,Boola (2),Denmark,Lomidhigh Lmtd.,2008
Growing,Jorge Martins (2),Germany,Trackord Records,2011
War / Games Of Mind,Sasha Wins & Igor Shep,Germany,Kondens,2009
Berne Electronic,Various,Switzerland,M.G.R.,1997
Mini One,[e]rik_MnMl,Argentina,Miniatura Records,2009
Hotwire,DJ Hyperactive,US,Contact,1996
The Joint EP,*,Spain,Supernature,2007
Tehnika 1,Various,Slovenia,Tehnika,2001
Micromix 141,Ferik,Italy,Micromix,2008
The Overture,Marc Romboy,Sweden,Tronic,2011
Mental Abyss E.P.,Syntax Error,Germany,Snork Enterprises,2009
Slipping Through The Cracks EP,Alejandro Sab,Canada,Plus 8 Records,2009
Eitherway,*,Germany,Non Standard Productions,2009
Telomeres,Bézier,US,Dark Entries,2015
Kreiskollaps,Christian Burkhardt,Germany,Oslo,2007
Contemporary Box,Christian Burkhardt,Germany,Oslo,2008
Coloured In Memory,Fairmont,UK,Border Community,2007
Undercover (The Single),Marc Houle,Germany,Items & Things,2012
Donut,M.A.N.D.Y. Vs. Booka Shade,,Living The Dream,2010
Etsche,Geoff White,US,Spectral Sound,2005
Motormouth Variations,Bob Ostertag,UK,Sandwell District,2011
Wordless,Lem (4),Italy,Wordless,2008
Cocoon Compilation L,Various,Germany,Cocoon Recordings,2012
La Vie Est Precieuse EP,Jens Zimmermann,Spain,Vinylclub,2011
Kollektiv Artists. Volume 6.,Various,Russia,Music Kollektiv,2011
Totally Snorked E.P.,Phil Kieran,Germany,Snork Enterprises,2010
Uvicopi EP,Gabriel Ferreira,Argentina,Miniatura Records,2009
Das Akustische Labyrinth,Andreas Kauffelt,Germany,PV,2002
Rhythms & Silhouettes,Leandro Gamez,Germany,Fieber Records,1999
Darkbeat,Alexander Obukhov,Russia,Hot Tape Studio,2001
Bingo EP,James Venturi,Germany,Religio Audio,2008
Urban Forest,Dosem,Spain,Soundfate,2008
Bareknuckle,Mark Du Mosch,Netherlands,SD Records,2010
Snowblind,Ambivalent,Canada,M_nus,2012
Aliens Made My Voice Pitched Up E.P.,Keinzweiter,Germany,Snork Enterprises,2007
Elandstraat Session,Salò Mentale (2),Netherlands,Stichting Maldoror,2011
On The Case / The Deal,Floorplan,US,Duet,2001
I'm With An Animal,*,US,Hidden Recordings,2010
Eingang,Torul,Germany,Force Inc. Music Works,2000
Tactile Green EP,Mike Shannon,Canada,Cynosure,2007
Anonymous Release 3,Anonym,US,Anonymous Release,2005
Sabado Gris,LOD,Spain,Klitekture,2006
Fraktion,Fraktion,Germany,Resopal RED,2006
Minimalism,Terrence Dixon,US,Utensil Records,1995
Begin Gro,Rich.vom.Dorf.,Germany,Ton liebt Klang,2014
Adjust The Frequency,Alexi Delano,US,Clink Music,2009
Attercop / Drugs Don't Kill People Life Do,Inkfish,Germany,Parquet Recordings,2010
Sleepless,2 Rare People,Spain,Permissive,2007
I Come To You / Hanaetano,Niconé,Germany,Burlesque Musique,2010
Untitled,Kroppssprak,Sweden,We Are,2007
Beyond Plastic,Various,Germany,Beyond Plastic,2014
Split EP Remixes,Cari Lekebusch,Sweden,Drumcode,1998
Satisfaction,K.U.R.O.,Japan,Psyristor Trax,2004
DJ Face Off,Jennifer Cardini,UK,DJ Magazine,2006
Rhodes 99,Tim Oe,Germany,Herz Ist Trumpf Subtil,2009
The Cold Light [Parts 1 & 2],Shifted,UK,Avian,2013
Perpetual Dirt,Apostille,US,Goaty Tapes,2014
Expedition II,SPT (3),US,End Result,2016
Dercole Leven EP,Ralph Sliwinski,Germany,Ilian Tape,2007
Berghain 02,Marcel Dettmann,Germany,Ostgut Ton,2008
Street Knowledge,Tobias.,France,Logistic Records,2006
The Inner Peace,Abstract Nostalgic Fractals Systems,Japan,Bump Foot,2012
Regenerate,Booka Shade,Germany,Kammermeier And Merziger,2010
Next Generation,Various,Spain,Elevate (5),2016
Badonians,DJ Zank,Japan,U7 DJ Toolz,2000
// Random Noize Sessions Vol. I,T.Raumschmiere,Germany,Shitkatapult,2006
Coïtus (Remix),Green Velvet,Belgium,Music Man Records,1999
From The Fallen Page,Magda,Canada,M_nus,2010
Creep,Vice,UK,Ideal Trax,1997
White E.P.,Math U Hates Jazz,Germany,Frisbee Tracks,1998
Iso Grifo,Dimbiman,UK,PAL SL,1998
